cluster,gaia_source_id,g_mag,bp_mag,rp_mag,membership_probability,use_star,distance_pc,a_g_mag,e_bp_rp_mag
Messier 67,604922920754523136,13.064538,13.358602,12.604801,0.9907219150076996,True,837.26777331,0.0872870850252,0.042253873118999995
Messier 67,604922920754523520,15.285419,15.724906,14.678334,0.7056118582480932,False,837.26777331,0.0872870850252,0.042253873118999995
Messier 67,604922920754526080,19.255949,20.559507,18.124228,0.1891875875392362,False,837.26777331,0.0872870850252,0.042253873118999995
Messier 67,604922920754526336,14.985489,15.400153,14.404499,1.0,True,837.26777331,0.0872870850252,0.042253873118999995
Messier 67,604922985178465152,12.686858,12.989913,12.225514,0.7683145415826103,False,837.26777331,0.0872870850252,0.042253873118999995
Messier 67,604923023833743744,15.51013,15.98332,14.878817,0.845305194498488,True,837.26777331,0.0872870850252,0.042253873118999995
Messier 67,604923023833744896,16.82904,17.561981,16.001623,0.6246046504250474,False,837.26777331,0.0872870850252,0.042253873118999995
Messier 67,604923092553224320,19.002293,20.28099,17.950306,0.4796171238482619,False,837.26777331,0.0872870850252,0.042253873118999995
Messier 67,604923126912957952,17.994484,18.991241,17.017082,0.3795531611528772,False,837.26777331,0.0872870850252,0.042253873118999995
Messier 67,604923126912959104,13.500302,13.820266,13.016366,0.8044344687763016,True,837.26777331,0.0872870850252,0.042253873118999995
Messier 67,604923191337116672,18.725708,20.162561,17.664635,0.4796171238482619,False,837.26777331,0.0872870850252,0.042253873118999995
Messier 67,604923195632435968,19.586857,21.137321,18.392298,0.2762694835536211,False,837.26777331,0.0872870850252,0.042253873118999995
Messier 67,604923333071376512,15.663899,16.161303,15.013148,0.9585498462054765,True,837.26777331,0.0872870850252,0.042253873118999995
Messier 67,604923367432823808,10.234691,10.783527,9.536458,0.8619720710449693,True,837.26777331,0.0872870850252,0.042253873118999995
Messier 67,604923470510324224,12.654641,13.128772,12.022124,0.5063994686297154,False,837.26777331,0.0872870850252,0.042253873118999995
Messier 67,604923470510326784,13.429287,13.715576,12.981228,0.7008469168226424,False,837.26777331,0.0872870850252,0.042253873118999995
Messier 67,604923607949286912,14.259432,14.597058,13.757588,0.8029075225514815,True,837.26777331,0.0872870850252,0.042253873118999995
Messier 67,604923607949288064,13.826932,14.130809,13.360292,0.7855334964037908,False,837.26777331,0.0872870850252,0.042253873118999995
Messier 67,604923706733209088,16.410458,17.209406,15.545003,0.5095494513355391,False,837.26777331,0.0872870850252,0.042253873118999995
Messier 67,604923745388235136,15.54789,16.121712,14.825359,0.5072330090077648,False,837.26777331,0.0872870850252,0.042253873118999995
Messier 67,604923809818135936,18.213108,19.2552,17.181208,0.2661324222559231,False,837.26777331,0.0872870850252,0.042253873118999995
Messier 67,604923848467467648,13.160912,13.472093,12.685681,0.6769350041328837,False,837.26777331,0.0872870850252,0.042253873118999995
Messier 67,604923848467470976,17.374266,18.215607,16.47403,0.6225233591605849,False,837.26777331,0.0872870850252,0.042253873118999995
